Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSAPI001,,,,2023-04-04 14:31:37,2023-04-04 14:31:51,14.579s,PASSED
,,,,,,,
Test Cases/TCAPI001 - GET LIST USERS,,,,2023-04-04 14:31:37,2023-04-04 14:31:46,8.904s,PASSED
"response = sendRequest(findTestObject(""GET LIST USERS"", [""URL"":URL]))",,,,2023-04-04 14:31:39,2023-04-04 14:31:46,7.510s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2023-04-04 14:31:46,2023-04-04 14:31:46,0.049s,PASSED
"verifyElementText(response, ""page"", ""1"")",,,,2023-04-04 14:31:46,2023-04-04 14:31:46,0.165s,PASSED
,,,,,,,
Test Cases/TCAPI002 - GET SINGLE USER,,,,2023-04-04 14:31:46,2023-04-04 14:31:48,1.400s,PASSED
"response = sendRequest(findTestObject(""GET SINGLE USER"", [""URL"":URL]))",,,,2023-04-04 14:31:47,2023-04-04 14:31:48,0.450s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2023-04-04 14:31:48,2023-04-04 14:31:48,0.000s,PASSED
"verifyElementText(response, ""data.id"", ""2"")",,,,2023-04-04 14:31:48,2023-04-04 14:31:48,0.083s,PASSED
"verifyElementText(response, ""data.first_name"", ""Janet"")",,,,2023-04-04 14:31:48,2023-04-04 14:31:48,0.064s,PASSED
,,,,,,,
Test Cases/TCAPI003 - PUT UPDATE,,,,2023-04-04 14:31:48,2023-04-04 14:31:49,1.736s,PASSED
"response = sendRequest(findTestObject(""PUT UPDATE"", [""URL"":URL]))",,,,2023-04-04 14:31:48,2023-04-04 14:31:49,0.804s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2023-04-04 14:31:49,2023-04-04 14:31:49,0.015s,PASSED
"verifyElementText(response, ""name"", ""morpheus"")",,,,2023-04-04 14:31:49,2023-04-04 14:31:49,0.071s,PASSED
"verifyElementText(response, ""job"", ""zion resident"")",,,,2023-04-04 14:31:49,2023-04-04 14:31:49,0.050s,PASSED
,,,,,,,
Test Cases/TCAPI004 - POST REGISTER SUCCESSFUL,,,,2023-04-04 14:31:49,2023-04-04 14:31:51,1.701s,PASSED
"response = sendRequest(findTestObject(""POST REGISTER SUCCESSFUL"", [""URL"":URL]))",,,,2023-04-04 14:31:50,2023-04-04 14:31:51,0.743s,PASSED
"verifyResponseStatusCode(response, 200)",,,,2023-04-04 14:31:51,2023-04-04 14:31:51,0.000s,PASSED
"verifyElementText(response, ""id"", ""4"")",,,,2023-04-04 14:31:51,2023-04-04 14:31:51,0.067s,PASSED
"verifyElementText(response, ""token"", ""QpwL5tke4Pnpja7X4"")",,,,2023-04-04 14:31:51,2023-04-04 14:31:51,0.050s,PASSED
